Date,TIME,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
08-04-2016 00:00,11:55:00,1443.95,1445,1442.75,1443.85,131,1682
08-04-2016 00:00,12:00:00,1443.85,1444.85,1442.5,1444.15,119,2153
08-04-2016 00:00,12:05:00,1444.15,1444.9,1442.5,1444.1,90,1493
08-04-2016 00:00,12:10:00,1444.1,1444.5,1442.7,1444.5,52,1252
08-04-2016 00:00,12:15:00,1444.5,1445.95,1443.8,1445.6,87,2049
08-04-2016 00:00,12:20:00,1445.7,1445.75,1442.75,1445,92,1178
08-04-2016 00:00,12:25:00,1444.35,1444.6,1442.35,1443.2,96,2124
08-04-2016 00:00,12:30:00,1443.25,1446.85,1443,1446.8,141,2338
08-04-2016 00:00,12:35:00,1446.8,1447.5,1444,1446.9,141,1657
08-04-2016 00:00,12:40:00,1443.8,1447.5,1443.35,1447,216,1880
08-04-2016 00:00,12:45:00,1446.9,1448,1444.8,1447.9,181,2806
08-04-2016 00:00,12:50:00,1447.9,1448,1444.1,1447.05,54,1938
08-04-2016 00:00,12:55:00,1447.75,1447.75,1443.6,1443.6,42,26776
08-04-2016 00:00,13:00:00,1443.25,1446.4,1442.4,1442.4,34,1738
08-04-2016 00:00,13:05:00,1442.8,1445.9,1442,1445.9,61,1521
08-04-2016 00:00,13:10:00,1443.95,1447,1441.1,1445.45,106,1815
08-04-2016 00:00,13:15:00,1445.45,1445.45,1440,1443.25,92,3313
08-04-2016 00:00,13:20:00,1443.6,1443.6,1437.55,1443,210,6779
08-04-2016 00:00,13:25:00,1443,1445.35,1439.5,1441.55,134,1576
08-04-2016 00:00,13:30:00,1445.35,1445.85,1440,1445.05,111,4093
08-04-2016 00:00,13:35:00,1445,1445.85,1440.8,1444.65,108,4629
08-04-2016 00:00,13:40:00,1444.85,1445.65,1441,1444.7,77,2272
08-04-2016 00:00,13:45:00,1444.3,1446,1440.5,1445.25,90,3278
08-04-2016 00:00,13:50:00,1445.5,1445.55,1440,1443,101,2035
08-04-2016 00:00,13:55:00,1443,1443.85,1440.05,1443.85,150,1225
08-04-2016 00:00,14:00:00,1443.85,1445,1441.85,1444.25,65,31533
08-04-2016 00:00,14:05:00,1444,1444.4,1438,1440.05,147,5548
08-04-2016 00:00,14:10:00,1441,1441.2,1437.5,1439.1,121,4425
08-04-2016 00:00,14:15:00,1438.85,1441,1437.85,1441,81,1998
08-04-2016 00:00,14:20:00,1440.95,1440.95,1438,1440.45,64,1747
08-04-2016 00:00,14:25:00,1440.5,1444.9,1438.05,1442,76,2324
08-04-2016 00:00,14:30:00,1442,1445,1440.9,1444.35,95,5404
08-04-2016 00:00,14:35:00,1442.45,1444.7,1439.75,1440.8,67,1436
08-04-2016 00:00,14:40:00,1444.15,1444.15,1441,1443.15,73,2249
08-04-2016 00:00,14:45:00,1442.2,1442.2,1438,1440.05,78,4269
08-04-2016 00:00,14:50:00,1440.05,1442.7,1438.25,1441.85,69,1230
08-04-2016 00:00,14:55:00,1441.95,1442.35,1438.25,1440.05,61,1052
08-04-2016 00:00,15:00:00,1441.4,1442.5,1439.1,1442.05,105,3159
08-04-2016 00:00,15:05:00,1442.1,1442.3,1437.1,1440.45,112,7671
08-04-2016 00:00,15:10:00,1441.05,1442,1433,1436.9,216,11415
08-04-2016 00:00,15:15:00,1437,1442,1435.2,1441.15,207,13172
08-04-2016 00:00,15:20:00,1441.15,1442.9,1436.25,1442.6,288,15782
08-04-2016 00:00,15:25:00,1439,1447,1439,1445,267,28724
11-04-2016 00:00,09:15:00,1447.5,1447.5,1440.1,1442.2,144,5035
11-04-2016 00:00,09:20:00,1442.25,1444.6,1439.95,1440,89,3338
11-04-2016 00:00,09:25:00,1440,1441.65,1435,1436.55,97,5718
11-04-2016 00:00,09:30:00,1436.4,1440.75,1435.7,1440,70,2843
11-04-2016 00:00,09:35:00,1439.05,1440.1,1437,1437,67,1981
11-04-2016 00:00,09:40:00,1437,1440,1436,1439.5,47,787
11-04-2016 00:00,09:45:00,1439.1,1440,1438.1,1439,44,1971
11-04-2016 00:00,09:50:00,1438.2,1440,1431.15,1432,90,2122
11-04-2016 00:00,09:55:00,1432.9,1436.2,1430.75,1431.95,69,1672
11-04-2016 00:00,10:00:00,1431.05,1433.65,1430,1433.25,69,2504
11-04-2016 00:00,10:05:00,1433.25,1434.9,1432.65,1433,37,924
11-04-2016 00:00,10:10:00,1433.25,1434.7,1432.1,1433,51,825
11-04-2016 00:00,10:15:00,1433,1434.45,1432.15,1434,24,1578
11-04-2016 00:00,10:20:00,1433.95,1435,1432.9,1434.2,24,875
11-04-2016 00:00,10:25:00,1435,1435.45,1434.2,1434.75,33,1121
11-04-2016 00:00,10:30:00,1434.75,1436.95,1432.85,1432.85,48,1421
11-04-2016 00:00,10:35:00,1432.6,1434.4,1432.1,1434.4,44,1098
11-04-2016 00:00,10:40:00,1434.35,1435,1432.15,1432.6,71,1384
11-04-2016 00:00,10:45:00,1433,1436.25,1432.7,1434.75,43,1145
11-04-2016 00:00,10:50:00,1436,1436,1434.1,1434.1,18,948
11-04-2016 00:00,10:55:00,1434.95,1435,1431,1431,63,1704
11-04-2016 00:00,11:00:00,1433.7,1433.7,1431,1431,24,687
11-04-2016 00:00,11:05:00,1430.7,1435.15,1430.7,1433.05,32,430
11-04-2016 00:00,11:10:00,1435.1,1435.1,1432.25,1433.5,44,479
11-04-2016 00:00,11:15:00,1433.8,1435.85,1432.2,1432.2,26,365
11-04-2016 00:00,11:20:00,1431.9,1433.5,1431.9,1433,19,494
11-04-2016 00:00,11:25:00,1434.05,1434.6,1433,1434,18,230
11-04-2016 00:00,11:30:00,1434.65,1434.8,1434.05,1434.7,22,187
11-04-2016 00:00,11:35:00,1434.65,1434.65,1433.45,1434.2,24,367
11-04-2016 00:00,11:40:00,1434.2,1435,1433,1433.55,25,298
11-04-2016 00:00,11:45:00,1434.25,1435.55,1433.15,1433.95,38,650
11-04-2016 00:00,11:50:00,1434,1434.05,1433.25,1433.25,15,235
11-04-2016 00:00,11:55:00,1433,1434.1,1432,1432,14,957
11-04-2016 00:00,12:00:00,1433.5,1433.5,1430.5,1431,31,970
11-04-2016 00:00,12:05:00,1431.7,1432.8,1431.65,1432.2,20,505
11-04-2016 00:00,12:10:00,1432,1433.2,1430,1430,114,895
11-04-2016 00:00,12:15:00,1430,1433.85,1429,1429,72,1779
11-04-2016 00:00,12:20:00,1430,1431.15,1428.3,1429.45,57,686
11-04-2016 00:00,12:25:00,1431.25,1431.9,1428.75,1431.35,46,1528
11-04-2016 00:00,12:30:00,1433.1,1433.1,1426.3,1427.2,73,2401
11-04-2016 00:00,12:35:00,1427.5,1427.75,1425.5,1427.2,58,1082
11-04-2016 00:00,12:40:00,1426.65,1428.75,1426.2,1427,45,1929
11-04-2016 00:00,12:45:00,1426.4,1427.15,1425.6,1427.15,60,1025
11-04-2016 00:00,12:50:00,1427.15,1427.55,1426.25,1427.3,67,685
11-04-2016 00:00,12:55:00,1427.3,1429,1426.65,1428.95,43,829
11-04-2016 00:00,13:00:00,1429,1430,1427.95,1428,34,335
11-04-2016 00:00,13:05:00,1427.5,1429.2,1426.55,1427.95,38,783
11-04-2016 00:00,13:10:00,1427,1429.25,1426.95,1428.75,69,3099
11-04-2016 00:00,13:15:00,1428.4,1432.5,1428,1432.5,70,1750
11-04-2016 00:00,13:20:00,1432.05,1434.45,1431.05,1432.7,71,3148
11-04-2016 00:00,13:25:00,1433.05,1439.1,1432.5,1438.1,124,4777
11-04-2016 00:00,13:30:00,1438.1,1439.9,1436,1439.9,140,2202
11-04-2016 00:00,13:35:00,1439.9,1441.8,1438,1438,124,5671
11-04-2016 00:00,13:40:00,1438,1442,1436,1441.65,119,2602
11-04-2016 00:00,13:45:00,1441,1442,1439.3,1441,113,4153
11-04-2016 00:00,13:50:00,1441,1441.65,1439.1,1441,153,12768
11-04-2016 00:00,13:55:00,1441.4,1441.4,1440.15,1440.2,17,1017
11-04-2016 00:00,14:00:00,1442,1443.9,1439.7,1442.4,42,2965
11-04-2016 00:00,14:05:00,1443.4,1447,1440.6,1442.45,80,3224
11-04-2016 00:00,14:10:00,1442.95,1446,1442.95,1444.25,47,1836
11-04-2016 00:00,14:15:00,1444.05,1444.05,1440.75,1440.75,35,1973
11-04-2016 00:00,14:20:00,1440.15,1443.05,1440.15,1442.45,49,1009
11-04-2016 00:00,14:25:00,1443,1443.65,1441.5,1443.05,45,840
